09:05:03.088 | 2f | 82 26 40 1c be 5a 43 2a f1 5b 5c 5a ad 2c a4 aa d5 7f ff fa ba ba b5 7e aa bb 55 ea ad 55 6a af aa b5 5a aa ab af ff aa aa d5 aa fe ab 6f 55  | -102 CRC error
09:05:04.119 | 0f | 84 06 30 0f 52 32 00 18 1a 27 02 21 52 1e 64  | -106 CRC error
09:05:05.673 | 0f | 8a 06 78 0d da 24 24 1b e4 1f 8a 23 95 1b c3  | -101 CRC error
09:05:05.933 | 0f | 8b 06 84 2b da 20 cc 20 1d 26 b9 19 c6 1d 0a  | -100 CRC error
09:05:06.445 | 2d | 0d 56 9c 15 e4 24 8c 26 97 1d 9a 2a a4 26 9d fd 55 55 55 d5 ea b5 55 69 80 08 aa ab 55 6a d5 5a aa b5 75 55 6a bf fe ae aa f5 55 55 ab  | -106 CRC error
09:05:06.704 | 0f | 8e 06 a8 18 80 25 72 21 5b 18 30 a0 55 1b 4c  | -103 CRC error
09:05:06.961 | 0f | 8f 06 b4 2f ce 1c a2 22 ce 1d f2 1f 79 13 ee  | -104 CRC error
09:05:07.740 | 0f | 92 06 d8 0b fe 1f ab 10 de 1e 4d 15 d5 55 6b  |  -97 CRC error
09:05:08.000 | 0f | 93 06 e4 12 da 25 6f 16 43 18 7f 27 46 29 f9  |  -95 CRC error
09:05:08.774 | 0f | 96 07 08 21 0b 29 33 15 d6 1b 02 1c ce 14 d6  |  -98 CRC error
09:05:09.038 | 0f | 97 07 14 22 9b 0c dc 20 e3 27 46 26 2f 22 c9  | -103 CRC error
09:05:09.817 | 0f | 9a 57 3a 55 a2 1b f5 2d ea 5b 7f 23 31 25 a3  | -101 CRC error
09:05:10.086 | 8f | 9b 07 44 22 75 17 ff 20 69 1f ed 1c d2 28 d2 ae 95 55 55 55 5e aa 75 55 55 56 b5 56 ea f5 75 5a aa aa aa ba a9 5a ab ae aa aa b5 6a ff 55 bf ab 56 d5 5a ef 55 55 bd 55 6a b5 6a da d5 55 57 d5 55 56 ab 55 55 5f aa b5 5b aa ae aa ab 55 57 55 ea af aa a5 56 ab 55 5a b5 ff 55 55 55 2b 55 5e aa b5 55 5a f5 6a aa 55 5a b5 55 55 6a d7 fa aa aa ea d5 aa b5 55 ff 57 55 aa b7 55 55 aa d5 5f fe ad 55 55 2a ab 57 57 57 fe ab ea fa b5 5b  |  -98 CRC error
09:05:10.333 | 0f | 9c 07 50 1f 7e 18 65 26 90 20 37 23 2a 24 99  | -101 CRC error
09:05:10.855 | 0f | 9e 07 68 1a fa 10 b2 2f 87 17 ee 1b 78 26 8f  | -102 CRC error
09:05:11.372 | 0f | a0 07 a0 29 08 16 2e 17 b1 11 1b 1f d2 28 13  |  -97 CRC error
09:05:11.629 | 0f | a1 07 8c 1e f3 23 98 1e 03 17 4a 1f 44 16 4a  |  -97 CRC error
09:05:11.888 | 0f | a2 07 98 25 0c aa b5 55 54 2a bf fd 55 15 fd  | -101 CRC error
09:05:12.665 | 0f | a5 07 bc 25 8c 16 c0 16 9d 22 5e 1f 2d 2e e1  |  -95 CRC error
09:05:12.922 | 0f | a6 07 c8 1b 59 24 32 0b 75 21 4c 18 5e 18 53  |  -99 CRC error
09:05:13.699 | 0f | a9 07 ec 1a f4 15 2a 28 a9 22 83 30 80 1a b6  |  -98 CRC error
09:05:13.961 | 0f | aa 07 f8 0f 48 26 a7 27 59 1e b1 13 70 19 65  |  -98 CRC error
09:05:14.741 | 0f | ad 29 52 26 23 52 81 14 7e 26 cf 22 15 10 c4  | -103 CRC error
09:05:16.295 | 0d | b3 08 64 15 4a 25 6b 1e d6 23 6b 28 e8  | -104 CRC error
09:05:17.852 | 2f | b9 0a ad 5b d8 5a 95 2d 4d 32 d2 95 5d 56 49 ab 5a af d5 5b 56 ad 5a b5 5a ab ea b6 aa b5 55 56 55 56 aa ea ea f5 b5 5b db fa aa ab 56 da aa  | -101 CRC error
09:05:18.888 | 0f | bd 08 dc 1f 13 1f b9 15 66 10 9c 1e 2f 1a b6  | -103 CRC error
09:05:19.159 | 8e | aa aa aa aa a9 1a 73 24 6b 1f 47 0c f5 2b f6 ea d5 52 d5 40 00 ea ad 6a fe a9 6f f5 55 aa ab f5 6a f5 55 54 aa aa aa 50 aa aa aa aa aa bf ab 55 f5 55 55 54 aa fd 55 aa 55 55 55 57 ea ff aa aa ea d5 57 ea ba aa ab 5a ff 55 56 aa ab 57 d5 6b f5 56 aa aa ab ff d5 bd 55 04 55 55 54 b5 5d 55 68 42 95 56 aa aa bf fa aa 5f 55 6b d5 7d 57 55 d5 55 55 ea aa ae aa b5 75 55 57 55 55 2a aa aa b5 6f ff f5 7a af 57 d5 aa d5 fa aa d4 b2  | -107 CRC error
09:05:19.402 | 0f | bf 6a a5 35 6c 12 ce 5a d6 1b db 24 aa ac 22  | -102 CRC error
09:05:19.923 | 0f | c1 09 0c 1f ba 18 27 18 f5 0a a6 1d 25 14 74  |  -97 CRC error
09:05:23.037 | 2f | cd 09 9c 24 f0 1b 08 18 5d 19 a4 25 1a 08 32 fd 5a aa aa ff 55 d6 a5 5a aa aa af fa ab 5f ff d5 6b 55 7f ff ab 56 aa bf fa ac ba aa fe aa b4  | -106 CRC error
09:05:24.072 | 0f | d1 09 cc 15 85 20 f9 29 64 19 5d 1c e1 24 98  | -100 CRC error
09:05:24.331 | 0f | d2 15 52 ee d5 7a b5 55 59 d5 5b aa aa b5 5a  |  -99 CRC error
09:05:25.104 | 0b | d5 0a fc 16 a5 25 19 25 57 1c da  |  -98 CRC error
09:05:25.366 | 0e | d6 0a 08 22 aa 18 7f 18 eb 52 ab 59 2d 4c  | -100 CRC error
09:05:25.674 | 0f | d7 0a 14 17 3b 14 c0 0c 6b 20 c3 2f 67 10 4e  |  -98 CRC error
09:05:25.887 | 0f | d8 0a 20 2c 77 17 b9 30 4d 2c 78 1e f7 22 52  |  -93 CRC error
09:05:26.143 | 0f | d9 0a 2c 26 05 1c c2 28 6a 23 ad 2e 35 14 dc  |  -93 CRC error
09:05:26.405 | 0f | da 0a 38 1d cf 2f 24 18 78 22 b9 1e 81 2e 2d  |  -93 CRC error
09:05:26.922 | 0f | dc 0a 50 2e 2c 0e 13 22 94 2d 34 22 90 1c 98  | -100 CRC error
09:05:27.438 | 0f | de 0a 68 1f 51 25 c8 1f 4e 22 a8 1f 90 27 f2  | -103 CRC error
09:05:27.701 | 0f | df 0a 74 21 ae 10 52 2c 9a 1f eb 27 6a 0f b7  | -104 CRC error
