campaign_id,repeat_index,run_id,clock_div0,clock_div1,desired_baud,target_packets,receiver_timeout_s,rx_base_freq_hz,deviation_hz,rx_data_rate_baud,rx_bandwidth_hz,tag_serial_log,receiver_raw_log,notes,status,reason,received_rows,valid_rows,target_packets_required,packet_error_count,packet_count_for_per,per,ber,avg_rssi_dbm
20260421_015611,1,d18_d16_b100k,18,16,100000,200,180,2457378082,457031,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d18_d16_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d18_d16_b100k\repeat_01_receiver_raw.txt,from_summary,ok,,200,200,200,45,200,0.225,0.04522321428571428,-92.895
20260421_015611,1,d20_d18_b100k,20,18,100000,200,180,2456596923,355468,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d20_d18_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d20_d18_b100k\repeat_01_receiver_raw.txt,from_summary,ok,,200,200,200,38,200,0.19,0.034241071428571426,-91.355
20260421_015611,1,d22_d20_b100k,22,20,100000,200,180,2455965728,304687,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d22_d20_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d22_d20_b100k\repeat_01_receiver_raw.txt,from_summary,ok,,200,200,200,61,200,0.305,0.05013392857142857,-90.915
20260421_015611,1,d24_d22_b100k,24,22,100000,200,180,2455444824,253906,99975,650000,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d24_d22_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d24_d22_b100k\repeat_01_receiver_raw.txt,from_summary,ok,,200,200,200,40,200,0.2,0.03397321428571429,-90.72
20260421_015611,1,d26_d22_b100k,26,22,100000,200,180,2455244476,457031,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d26_d22_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d26_d22_b100k\repeat_01_receiver_raw.txt,from_summary,ok,,200,200,200,45,200,0.225,0.03709821428571428,-93.965
20260421_015611,1,d26_d24_b100k,26,24,100000,200,180,2455007629,203125,99975,541666,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d26_d24_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d26_d24_b100k\repeat_01_receiver_raw.txt,from_summary,ok,,200,200,200,33,200,0.165,0.021875,-91.255
20260421_015611,1,d28_d24_b100k,28,24,100000,200,180,2454836242,380859,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d28_d24_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d28_d24_b100k\repeat_01_receiver_raw.txt,from_summary,ok,,200,200,200,41,200,0.205,0.037321428571428575,-91.605
20260421_015611,1,d28_d26_b100k,28,26,100000,200,180,2454635894,177734,99975,464285,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d28_d26_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d28_d26_b100k\repeat_01_receiver_raw.txt,from_summary,ok,,200,200,200,40,200,0.2,0.03450892857142857,-91.345
20260421_015611,1,d30_d26_b100k,30,26,100000,200,180,2454487121,330078,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d30_d26_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d30_d26_b100k\repeat_01_receiver_raw.txt,from_summary,ok,,200,200,200,59,200,0.295,0.03575892857142857,-91.11
20260421_015611,1,d32_d26_b100k,32,26,100000,200,180,2454356597,457031,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d32_d26_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d32_d26_b100k\repeat_01_receiver_raw.txt,from_summary,ok,,200,200,200,75,200,0.375,0.054151785714285715,-93.36
20260421_015611,1,d30_d28_b100k,30,28,100000,200,180,2454315338,152343,99975,406250,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d30_d28_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d30_d28_b100k\repeat_01_receiver_raw.txt,from_summary,ok,,200,200,200,56,200,0.28,0.04383928571428571,-91.215
20260421_015611,1,d32_d28_b100k,32,28,100000,200,180,2454185211,279296,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d32_d28_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d32_d28_b100k\repeat_01_receiver_raw.txt,from_summary,ok,,200,200,200,54,200,0.27,0.03352678571428572,-90.47
20260421_015611,1,d34_d28_b100k,34,28,100000,200,180,2454070159,406250,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d34_d28_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d34_d28_b100k\repeat_01_receiver_raw.txt,from_summary,ok,,200,200,200,90,200,0.45,0.05071428571428571,-91.835
20260421_015611,1,d32_d30_b100k,32,30,100000,200,180,2454036437,139648,99975,406250,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d32_d30_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d32_d30_b100k\repeat_01_receiver_raw.txt,from_summary,ok,,200,200,200,74,200,0.37,0.04808035714285714,-90.625
20260421_015611,1,d34_d30_b100k,34,30,100000,200,180,2453921386,253906,99975,650000,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d34_d30_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260421_015611\raw\d34_d30_b100k\repeat_01_receiver_raw.txt,from_summary,ok,,200,200,200,87,200,0.435,0.04870535714285714,-90.33
