run_id,clock_div0,clock_div1,desired_baud,requested_repeat_count,target_packets,valid_repeat_count,per_mean,per_std,ber_mean,ber_std,avg_rssi_dbm_mean,avg_rssi_dbm_std,valid_rows_mean,valid_rows_min,valid_rows_max,excluded_repeat_count
d18_d16_b100k,18,16,100000,4,200,4,0.23875000000000002,0.017017148213885117,0.04950892857142857,0.004525179930274656,-93.125,0.22154758706276573,200.0,200,200,0
d20_d18_b100k,20,18,100000,4,200,4,0.26375000000000004,0.05406400527769532,0.044453124999999996,0.009707973962174347,-91.37125,0.3354940386951726,200.0,200,200,0
d22_d20_b100k,22,20,100000,4,200,4,0.3375,0.031224989991991976,0.05621651785714286,0.0052192540695095305,-90.80875,0.38057795960004465,200.0,200,200,0
d24_d22_b100k,24,22,100000,4,200,4,0.21125,0.016520189667999167,0.03801339285714286,0.005154204268474081,-90.3875,0.2729010809799036,200.0,200,200,0
d26_d22_b100k,26,22,100000,4,200,4,0.2475,0.03227486121839514,0.045200892857142856,0.006076951707009012,-93.5025,0.5695831809314617,200.0,200,200,0
d26_d24_b100k,26,24,100000,4,200,4,0.20375000000000001,0.04049176871085447,0.02818080357142857,0.004470735667967873,-90.70375,0.37372839959877596,200.0,200,200,0
d28_d24_b100k,28,24,100000,4,200,4,0.25375,0.04552929459882578,0.04756696428571429,0.008502755343232615,-91.475,0.24190218408825245,200.0,200,200,0
d28_d26_b100k,28,26,100000,4,200,4,0.16625,0.02286737122335374,0.023604910714285714,0.007366150342290137,-91.31125,0.07431632839872084,200.0,200,200,0
d30_d26_b100k,30,26,100000,4,200,4,0.27625,0.048712592485584946,0.03916294642857143,0.008610199933162447,-90.88625,0.15407655023829026,200.0,200,200,0
d30_d28_b100k,30,28,100000,4,200,4,0.3,0.02121320343559642,0.03771205357142857,0.005035927337396162,-91.1875,0.2910469607010741,200.0,200,200,0
d32_d26_b100k,32,26,100000,4,200,4,0.40875,0.048196645803070835,0.05637276785714286,0.006016291016890308,-93.08125,0.27375095129210836,200.0,200,200,0
d32_d28_b100k,32,28,100000,4,200,4,0.2925,0.023273733406281593,0.040100446428571426,0.005222689610400147,-90.4475,0.10743214912989053,200.0,200,200,0
d32_d30_b100k,32,30,100000,4,200,4,0.31625000000000003,0.04230346715499018,0.041171875,0.0055575575908329705,-90.59375,0.10330980915027373,200.0,200,200,0
d34_d28_b100k,34,28,100000,4,200,4,0.39375,0.07487489565935969,0.055725446428571426,0.007833125409972089,-91.88874999999999,0.07846177413237809,200.0,200,200,0
d34_d30_b100k,34,30,100000,4,200,4,0.2975,0.09802210635021742,0.04252232142857143,0.005030400248306615,-90.33375000000001,0.12578917547494523,200.0,200,200,0
d34_d32_b100k,34,32,100000,4,200,4,0.17125,0.020966242709015214,0.02525669642857143,0.0045890852223669015,-90.19,0.1619670748434207,200.0,200,200,0
d36_d30_b100k,36,30,100000,4,200,4,0.28,0.014142135623730926,0.048035714285714286,0.002726992889812593,-91.2225,0.09578622030333778,200.0,200,200,0
d36_d32_b100k,36,32,100000,4,200,4,0.17625000000000002,0.039024564913226985,0.02880580357142857,0.005755452416177286,-91.24125000000001,0.15574418127172399,200.0,200,200,0
d36_d34_b100k,36,34,100000,4,200,4,0.2075,0.027233557730613655,0.022265625,0.005892448466167997,-90.70875,0.07397916373322394,200.0,200,200,0
