campaign_id,repeat_index,run_id,clock_div0,clock_div1,desired_baud,target_packets,receiver_timeout_s,rx_base_freq_hz,deviation_hz,rx_data_rate_baud,rx_bandwidth_hz,tag_serial_log,receiver_raw_log,notes
20260420_230914,1,d18_d16_b100k,18,16,100000,200,180,2457378082,457031,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d18_d16_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d18_d16_b100k\repeat_01_receiver_raw.txt,delta2
20260420_230914,1,d20_d18_b100k,20,18,100000,200,180,2456596923,355468,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d20_d18_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d20_d18_b100k\repeat_01_receiver_raw.txt,delta2_baseline
20260420_230914,1,d22_d20_b100k,22,20,100000,200,180,2455965728,304687,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d22_d20_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d22_d20_b100k\repeat_01_receiver_raw.txt,delta2
20260420_230914,1,d24_d22_b100k,24,22,100000,200,180,2455444824,253906,99975,650000,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d24_d22_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d24_d22_b100k\repeat_01_receiver_raw.txt,delta2
20260420_230914,1,d26_d24_b100k,26,24,100000,200,180,2455007629,203125,99975,541666,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d26_d24_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d26_d24_b100k\repeat_01_receiver_raw.txt,delta2
20260420_230914,1,d28_d26_b100k,28,26,100000,200,180,2454635894,177734,99975,464285,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d28_d26_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d28_d26_b100k\repeat_01_receiver_raw.txt,delta2
20260420_230914,1,d30_d28_b100k,30,28,100000,200,180,2454315338,152343,99975,406250,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d30_d28_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d30_d28_b100k\repeat_01_receiver_raw.txt,delta2
20260420_230914,1,d20_d16_b100k,20,16,100000,200,180,2457030944,812500,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d20_d16_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d20_d16_b100k\repeat_01_receiver_raw.txt,delta4
20260420_230914,1,d22_d18_b100k,22,18,100000,200,180,2456312866,660156,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d22_d18_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d22_d18_b100k\repeat_01_receiver_raw.txt,delta4
20260420_230914,1,d24_d20_b100k,24,20,100000,200,180,2455728881,558593,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d24_d20_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260420_230914\raw\d24_d20_b100k\repeat_01_receiver_raw.txt,delta4
