campaign_id,repeat_index,run_id,clock_div0,clock_div1,desired_baud,target_packets,receiver_timeout_s,rx_base_freq_hz,deviation_hz,rx_data_rate_baud,rx_bandwidth_hz,tag_serial_log,receiver_raw_log,notes,status,reason,received_rows,valid_rows,packet_error_count,packet_count_for_per,per,ber,avg_rssi_dbm
20260420_215521,1,d20_d18_b100k,20,18,100000,200,120,2456596923,355468,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260420_215521\raw\d20_d18_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260420_215521\raw\d20_d18_b100k\repeat_01_receiver_raw.txt,baseline,ok,,200,200,64,200,0.32,0.041428571428571426,-87.835
20260420_215521,1,d22_d20_b100k,22,20,100000,200,120,2455965728,304687,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260420_215521\raw\d22_d20_b100k\repeat_01_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260420_215521\raw\d22_d20_b100k\repeat_01_receiver_raw.txt,candidate,ok,,200,200,22,200,0.11,0.02066964285714286,-83.085
20260420_215521,2,d20_d18_b100k,20,18,100000,200,120,2456596923,355468,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260420_215521\raw\d20_d18_b100k\repeat_02_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260420_215521\raw\d20_d18_b100k\repeat_02_receiver_raw.txt,baseline,ok,,200,200,39,200,0.195,0.030669642857142857,-88.155
20260420_215521,2,d22_d20_b100k,22,20,100000,200,120,2455965728,304687,99975,812500,D:\Coursework\wcnes-project2026\automation\results\20260420_215521\raw\d22_d20_b100k\repeat_02_tag_serial.txt,D:\Coursework\wcnes-project2026\automation\results\20260420_215521\raw\d22_d20_b100k\repeat_02_receiver_raw.txt,candidate,ok,,200,200,71,200,0.355,0.04897321428571429,-88.34
