file,d0,d1,deviation_khz,center_offset_mhz,min_rx_bw_khz,status,reason,total_rows,valid_rows,received_packets,missing_packets_est,estimated_sent_packets,per,ber,reliability_pct,avg_rssi_dbm,rssi_std_dbm
18-16.txt,18,16,434.027777777778,7.378472222222222,968.055555555556,included,,200,200,200,9008,9208,0.9782797567332754,0.17566964285714284,82.43303571428572,-99.595,4.444206903374324
20-18.txt,20,18,347.222222222222,6.597222222222222,794.444444444444,included,,200,200,200,8411,8611,0.9767738938566949,0.17714285714285713,82.28571428571428,-98.595,4.485640979837775
22-20.txt,22,20,284.0909090909092,5.965909090909091,668.1818181818184,included,,200,200,200,7998,8198,0.9756038058062942,0.1825,81.75,-96.7,3.8587562763149474
24-22.txt,24,22,236.7424242424243,5.445075757575758,573.4848484848486,included,,200,200,200,2831,3031,0.9340151765094028,0.07870535714285715,92.12946428571429,-94.97,3.1700315455843655
26-22.txt,26,22,437.06293706293684,5.244755244755245,974.1258741258737,included,,200,200,200,5998,6198,0.9677315262988061,0.14866071428571428,85.13392857142857,-98.495,3.4741869552457882
26-24.txt,26,24,200.32051282051253,5.00801282051282,500.64102564102507,included,,200,200,200,4319,4519,0.9557424208895774,0.07151785714285715,92.84821428571428,-97.175,4.142991069263848
28-24.txt,28,24,372.02380952380923,4.836309523809525,844.0476190476185,included,,200,200,200,6502,6702,0.9701581617427634,0.14129464285714285,85.87053571428571,-97.9,4.350861983561419
28-26.txt,28,26,171.7032967032967,4.635989010989011,443.4065934065934,included,,200,200,200,4064,4264,0.9530956848030019,0.09714285714285714,90.28571428571428,-97.18,2.5234103907212555
30-26.txt,30,26,320.5128205128207,4.487179487179487,741.0256410256414,included,,200,200,200,4061,4261,0.9530626613471016,0.10125,89.875,-97.8,2.9342801502242417
32-26.txt,32,26,450.721153846154,4.356971153846154,1001.442307692308,included,,200,200,200,10090,10290,0.9805636540330418,0.19401785714285713,80.59821428571429,-99.59,4.376288381722576
30-28.txt,30,28,148.80952380952402,4.315476190476191,397.61904761904805,included,,200,200,200,6254,6454,0.9690114657576696,0.11044642857142857,88.95535714285714,-97.755,3.270317262896675
32-28.txt,32,28,279.0178571428573,4.185267857142858,658.0357142857146,included,,200,200,200,3301,3501,0.9428734647243645,0.08352678571428572,91.64732142857143,-96.735,2.4606452405822337
34-28.txt,34,28,393.90756302521027,4.070378151260504,887.8151260504205,included,,200,200,200,8307,8507,0.9764899494533913,0.15625,84.375,-98.795,4.156076876093607
32-30.txt,32,30,130.20833333333326,4.036458333333333,360.4166666666665,included,,200,200,200,4881,5081,0.9606376697500492,0.09575892857142858,90.42410714285715,-96.565,2.9590158837018765
34-30.txt,34,30,245.09803921568627,3.9215686274509802,590.1960784313726,included,,200,200,200,3754,3954,0.9494183105715731,0.09080357142857143,90.91964285714286,-96.055,2.368960742604233
36-30.txt,36,30,347.22222222222223,3.819444444444444,794.4444444444445,included,,200,200,200,5048,5248,0.961890243902439,0.10772321428571428,89.22767857142857,-97.435,2.82414146246253
34-32.txt,34,32,114.88970588235301,3.791360294117647,329.779411764706,included,,200,200,200,3258,3458,0.9421631000578369,0.07276785714285715,92.72321428571428,-97.305,1.9136287518743023
36-32.txt,36,32,217.013888888889,3.689236111111111,534.027777777778,included,,200,200,200,2665,2865,0.9301919720767888,0.06674107142857143,93.32589285714286,-96.87,2.771840543754276
36-34.txt,36,34,102.12418300653599,3.5743464052287583,304.248366013072,included,,200,200,200,2257,2457,0.9185999185999186,0.08169642857142857,91.83035714285714,-96.915,2.3911869437582665
